word,క్రి.రూపం.,meaning,annotation
యథార్హము,సం.క్రి.విణ,గుణాను సారముగా లేక విలువ ననుసరించు,
యాదము,క్రి.విణ,గాఢముగా,
రిత్త,క్రి.విణ,"ఊరక,వ్యర్ధముగా;నిష్కారణముగా;మిక్కిలి వ్యర్థముగా;తేరగా,అనాయాసముగా",
రిత్తకురిత్త,క్రి.విణ,శూన్యమగు,
రెంజితుంజి,క్రి.విణ,"సంపూర్ణముగా,పూర్తిగా",
లఘువు,క్రి.విణ,శీఘృము,
లెస్స,క్రి.విణ,చక్కగా,
లే,క్రి.విణ,అల్పముగా,
వట్రిలు(ల్లు),క్రి.విణ,"గుండ్రముగా,వర్తులముగా",
వడారము,క్రి.విణ,బొత్తిగా,
విచ్చలవిడి,క్రి.విణ,నిరాటంకముగా,
విడి,క్రి.విణ,"ఒంటరిగా,విడిగా",
వితావిత,క్రి.విణ,మిక్కిలి వ్యర్ధముగా,
విరవిర=బిరబిర,క్రి.విణ,మిక్కిలి త్వరితముగా,
వెచ్చ,క్రి.విణ,వేడిగా,
వెచ్చన,క్రి.విణ.ద్రు,"వేడిగా,వెచ్చగా",
వెడ,క్రి.విణ,"అల్పముగా,కొంచెముగా 2.వదలుగా",
వెడవెడ,క్రి.విణ,"మిక్కిలియల్పముగా,కొంచముకొంచముగా 2.బిగ్గరగా 3.మిక్కిలి వికారముగా 4.తరచుగా 5.ఆశ్రద్ధగా 6.మృదువుగా 7.అధికముగా 8.మెల్లమెల్లగా 9.దృఢముగా,గట్టిగా",
వెవ్వెఱలాడు,క్రి.విణ.ద్రు,"శీఘ్రముగా,వేగముగా",
వే,క్రి.విణ.,"వేగముగా,త్వరగా 2.శీఘ్రముగా,వెంటనే",
వేగ,క్రి.వి.ణ,వేవేగ=త్వరితముగ,
వేగిరము,క్రి.విణ,త్వరితముగ,
వేమఱు=వేమాఱు,క్రి.విణ,పలుమారు,
వేళము,క్రి.విణ,"శీఘ్రముగా,త్వరితముగ",
వేవే,క్రి.విణ,"మిక్కిలిశీఘ్రముగా,అతి శీఘ్రముగా",
సరసర,క్రి.విణ,మిక్కిలివేగముగా,
ససి,క్రి.విణ,బాగుగ,
సుఖంబు,క్రి.విణ,సుఖముగా,
హోరాహోరి,క్రి.విణ,అవిరామముగా ఎడతెగక,
యథాక్రమము,"సం.అవ్య.,క్రి.విణ","క్రమానుసారముగా,వరుసగా",
యథాతథము,"సం.అవ్య.,క్రి.విణ","సరిగా,హెచ్చు తగ్గులు లేకుండగా;తగునట్లుగా,ఉచితమైనట్లు;నిజముగా జరిగినట్లు",
యథాపురము,"సం.అవ్య.,క్రి.విణ","వెనుకటి వలె,పూర్వకాలమందువలె",
యథాపూర్వము,"సం.అవ్య.,క్రి.విణ","వెనుకటి వలె,ఎప్పటివలె",
యథాప్రాణము,"సం.అవ్య.,క్రి.విణ","బలానుసారముగా,శక్త్యనుసారమున,యావచ్ఛక్తిని",
యథాభాగము,"సం.అవ్య.,క్రి.విణ","ఒక్కొక్క విభాగముల ప్రకారం;వాటాల వంతు ప్రకారముగా;తగిన చోట, అర్హస్థలమున",
యథామతి,"సం.అవ్య.,క్రి.విణ","బుద్ధ్యనుసారముగా,బుద్ధికొలది",
యథాయథము,"సం.అవ్య.,క్రి.విణ","సరిగా,క్రమ ప్రకారముగా;చెల్లాచెదరు",
యథావిధి,"సం.అవ్య.,క్రి.విణ",విధి ప్రకారముగా;శాస్రృనుసారముగా; తగునట్లు;శాస్త్రప్రకారముగా,
యథాశక్తి,"సం.అవ్య.,క్రి.విణ","శక్త్యనుసారముగా,శక్తికొలది",
యథాశాస్త్రము,"సం.అవ్య.,క్రి.విణ","శాస్త్రమునందు జెప్పబడినరీతిగా,ధర్మశాస్త్రప్రకారముగా",
యథాశ్రుతము,"సం.అవ్య.,క్రి.విణ","వినినట్లుగా,వినిపింపబడినట్లుగా,తెలుపబడినట్లుగా;వేదానుసారముగా;వేదప్రకారముగా",
యథాసంఖ్యము,"సం.అవ్య.,క్రి.విణ","సంక్యనుబట్టి,వరుసగా,సంఖ్యప్రకారముగా",
యథాసుఖము,"సం.అవ్య.,క్రి.విణ","సుఖముగా,ఆనందమిచ్చునట్లు",
యథాస్థితము,"అవ్య.,క్రి.విణ","నిజముగా,సరిగా;ఉన్నదియున్నట్లుగా",
యథాస్వము,"సం.అవ్య.,క్రి.విణ","ఉచితముగా;సరిగా,తనమాట ప్రకారముగా",
యథేచ్చము,"సం.అవ్య.,క్రి.విణ","కోరికప్రకారము,ఇష్టము వచ్చినట్లు;కావలిసినంతగా,మనస్తృప్తిగా,తృప్తియగువఱకు",
యథేప్సితము,"సం.అవ్య.,క్రి.విణ",యథేచ్ఛము,
యథేష్టము,"సం.అవ్య.,క్రి.విణ",యథేచ్ఛ,
యథోచితము,"సం.అవ్య.,క్రి.విణ","సరియగునట్లు,తగినట్లు",
యథోత్తరము,"సం.అవ్య.,క్రి.విణ","వరుసగా,ఒకటి తరువాత నొకటిగా",
యదర్ధము,"సం.అవ్య.,క్రి.విణ","ఎందు నిమిత్తము;ఎందుకు,దేనికై",
యావచ్ఛక్తి,"సం.అవ్య.,క్రి.విణ","శక్తికొలది,సాధ్యమైనంతలో",
యావజ్జీవము,"సం.అవ్య.,క్రి.విణ","బ్రతికియున్నంత వఱకు,ప్రాణమున్నంత కాలము",
కర(ఱ)కర(ఱ),క్రి.విణ.ద్రు,"తీవ్రముగా,అత్యంతము,మిక్కిలి",
కుదుకనగోలు,క్రి.విణ,అన్యాయముగా,
కుప్పగూర(లు)-కుప్పనగూర,క్రి.విణ,"కుప్పకుప్పలుగా,ప్రోగుప్రోగులుగా",
కుఱు,క్రి.విణ,కొంచెముగా,
"కొండొక-కొండిక,కొండుక-ఒండొక",క్రి.విణ,"ఇంచుక,కొంచెము;కొంచెము సేపు;కొంచెము దూరము",
కోలు,క్రి.విణ,మిక్కిలి,
క్రంచర-కచ్చర,క్రి.విణ.ద్రు,శీఘ్రముగా;ఎడతెగకుండ,
క్రచ్చఱ-క్రంచఱ,క్రి.విణ.ద్రు,"అమోఘముగా,నిష్పలముగాకుండ;స్పష్టముగా;ఎల్లప్పుడు,సతతము,శీఘ్రముగా;అనాలోచితముగా;",
క్రన్న - క్రన్నన్,క్రి.విణ.ద్రు,"శీఘ్రముగా,పిమ్మట,మరల",
క్రొత్త,క్రి.విణ,క్రొత్తగా,
క్షిప్రము,క్రి.విణ,శీఘ్రము,
ఖుద్దున,క్రి.విణ,సొంతముగా,
గడ్డు,క్రి.విణ,"అధికముగా,మిక్కిలి",
గప్పున - గుప్పున,క్రి.విణ.ద్రు,"శీఘ్రముగా,అకస్మాత్తుగా",
గరగర,క్రి.విణ,"చక్కగా,బాగుగా,పూర్తిగా",
గుప్పుతెప్పున,క్రి.విణ.ద్రు,అతిశీఘ్రముగా,
గుప్పున,క్రి.విణ.ద్రు,"శీఘ్రముగా,వేగముగా,అకస్మాత్తుగా",
గుబ్బన,క్రి.విణ.ద్రు,"శీఘ్రముగా,వేగముగా",
గ్రక్కన - గ్రక్కున,క్రి.విణ.ద్రు,శీఘ్రముగా,
గ్రక్కున - గ్రక్కన,క్రి.విణ.ద్రు,"శీఘ్రముగా,వెంటనే,నిరంతరము,ఎడతెఱిపి లేకుండగ",
గ్రద్దన,క్రి.విణ.ద్రు,శీఘ్రముగా,
గొడ్డేఱు,క్రి.విణ,"వ్యర్థముగా,దిక్కు లేకుండగా",
గ్రక్కుపాటునన్,క్రి.విణ,"హఠాత్తుగా,ఆకస్మికముగా",
చపచపగా,క్రి.విణ,వ్యర్ధముగా,
చప్పున,క్రి.విణ,శీఘ్రముగా,
చయ్యన,క్రి.విణ,శీఘ్రముగా,
చరాలున(ల్న),క్రి.విణ,శీఘ్రముగా,
చల్లగ,క్రి.విణ,"చల్లగా, వర్ధిల్లునట్లు, నెమ్మదిగా",
చివాలులున,క్రి.విణ,"తటాలున, అతిశీఘ్రముగ",
చివ్వున,క్రి.విణ,శీఘ్రముగా,
చువ్వ(వ్వు)న,క్రి.విణ,"చివ్వున, శీఘ్రముగా",
చెచ్చెర-చెరచెర,క్రి.విణ,"శీఘ్రముగా, సులభముగా",
చెరచెర-చెచ్చెర,క్రి.విణ,శీఘ్రముగా,
చెల్లాకుజెదరు, క్రి.విణ,చెల్లాచెదరుగా,
జడ్డన,క్రి.విణ.,"తటాలున, శీఘ్రముగా",
జరీ(లు)న,క్రి.విణ.,శీఘ్రముగా,
జల్లిక,క్రి.విణ.,"పెల్లుగా, అధికముగ",
జిఱ్ఱజిఱ్ఱన,క్రి.విణ.,జిఱ్ఱయన ధ్వని కలుగునట్లుగా,
జిలిబిలి,క్రి.విణ.,"మెల్లగా, మందముగా, సొగసుగా",
డాగినీ,క్రి.విణ,మల్లక్రియా విశేషము,
"డిగ్గన - డిగ్గున, దిగ్గన",క్రి.విణ.,తటాలున,
డిగ్గున - డిగ్గన,క్రి.విణ.,"తటాలువ, శీఘ్రముగా",
డెప్పరము,క్రి.విణ.,అధికముగా,
తటాన - తటాలున,క్రి.విణ.,"శీఘ్రముగా, ఆకస్మికముగా",
తటాలున (ల్న) - తటాన,క్రి.విణ.,"శీఘ్రముగా, వెంటవే, ఆకస్మికముగా",
తటుకున - తటుక్కున,క్రి.విణ.,"అతి శీఘ్రముగా, అనాలోచితముగా, హఠాత్తుగా, ఆకస్మికముగా",
తటుక్కున - తటుకున,క్రి.విణ.,"తటాలున, శీఘ్రముగా, వెంటనే",
తడుకున-తటుకున,క్రి.విణ.ద్రు,"శీఘ్రముగా, హఠాత్తుగా",
తరతరము,క్రి. విణ,"క్రమక్రమముగా,వరుసపెట్టి,మునుమీడి, వంశపరంపరగా, అత్యంత  మిక్కిలి.",
తఱుచు,క్రి. వి ణ,"దట్టముగా,నిబిడముగా,సాంద్రముగా,అధికముగా,మిక్కిలి,ప్రాయికముగా,సమాన్యముగా.",
తఱిదఱి,క్రి. విణ.ద్రు,తోడ్తోవెనువెంట,
తివుట-తిగుట,క్రి.విణ.,"శీఘ్రముగా, వడిగా",
తుట్టమర,క్రి.విణ.,"బొత్తిగా, పూర్ణముగా ",
తురితము,క్రి.విణ.,శీఘ్రముగా  ,
తురీన,క్రి.విణ.ద్రు,"తారూలున, హఠాత్తుగా, శీఘ్రముగా",
అంకకాడు,మి.విణ,"మొనగాడు,ముఖ్యుడు,శూరుడు,కళంకము కలవాడు",
అంకన,విణ,ముద్రలు వేయుటకు సాధనమైనది,
అంకపరివర్తి,సం.విణ,ఆలింగనము చేసికొనువాడు,
అంకి,"""",అంకముకలది,
అంకితము,"""","ఎంచబడినది,గురుతిడబడినది,రాజాదులనామముచే చిహ్నితమైనది",
అంకురితము,"""",మొలకఎత్తినది,
అంకుశదుర్ధరము,"""",అంకుశమునకు లొంగనిది,
అంకుశి,"""",అంకుశము కలవాడు,
అంకుశితము,"""",అంకుశ ప్రయోగము కలది,
అంక్యము,"""","ఎంచదగినది,గురుతిడబడినది,వాతవెయదగినది",
అంగజము,"""","శరీరమందు పుట్టినది,శరీరమువలన పుట్టినది",
అంగనాప్రియము,"""",స్త్రీలకిష్టమైనది,
అంగభువు,"""",శరీరమునుండికాని  మనస్సునుండికాని పుట్టినది,
అంగమర్ధకుడు/అంగమర్ది /అంగమర్ధుడు,"""",ఒడలు పట్టువాడు,
అంగరక్తము,"""",ఎఱ్ఱని అవయవములు కలది,
అంగరక్షకుడు,"""",ప్రభువు దేహమును కాపాడుటకై యతని తోడు ఉండువాడు,
అంగరక్షుడు,"""",రాజాదుల శరీరమును రక్షించువాడు,
అంగరుహము,"""",శరీరమున మొలచునది,
అంగవికలుడు,"""",అస్వాభావికమైన యవయములు కలవాడు,
"అంగసంస్కర్త/అంగసంస్కారుడు""","""","అంగసంస్కారము చేయువాడు,దేహమును అలంకరించువాడు",
అంగహీనుడు,"""","అంగవికలుడు,అవయవ లోపము కలవాడు",
అంగారకారి,"""","బొగ్గులను చేయువాడు,అంగారకునకు శత్రువు-బుధుడు",
అంగారకితము,"""",బొగ్గుగా చేయబడినది,
అంగారము,"""",ఎర్రనిది,
అంగారీయము,"""",బొగ్గులు చేయుటకుపయోగపడినది,
అంగి,"""","అవయవములు కలది,దేహము కలది,ముఖ్యమైనది,ప్రధానము",
అంగీకర్త/అంగీకారకుడు,"""",అంగీకరించువాడు,
అంగీకార్యము,"""",అంగీకరింపదగినది,
అంగీకృతము,"""",అంగీకరింపబడినది,
అంగీక్రియమాణము,"""",అంగీకరింపబడుచున్నది,
అంగీయము,"""","దేహసంబంధమైనది,అంగదేశ సంబంధమైనది",
అంగుష్ఠమాత్రము,"""",బొటనవ్రేలికొలదిగలది,
అంచనదారుడు,"""","అంచనవేయువాడు,పరిమితినూహించువాడు",
అంచితము,"""","వంకరయైనది,వంపబడినది,పూజింపబడినది",
అంజసము,"""","వక్రముకానిది,సరళము,ఋజువైనది",
అంటనిది,విణ,"అంటరానిది,ముట్టుది",
అంటు,"""","అంటుకలది,అంటుకొనునది",
అండజము,సం.విణ,గ్రుడ్డువలన పుట్టినది,
అండప్రసువు,"""","అండజము,గ్రుడ్డునుండి పుట్టినది,గ్రుడ్లను పెట్టునది",
అంతఃకుటిలము,"""",లోపల కుటిలత్వము కలది,
అంతఃకృమి,"""",పురుగులు గలది,
అంతఃపాతి,"""",లోపలజేరినది,
అంతఃప్రజ్ఞుడు,"""","ఆత్మస్వరూపముతెలిసికొనినవాడు,తన్నుదానెరిగినవాడు",
అంతకరము,"""",అంతము చేయునది,
అంతకుడు,"""",నాశము కలిగించువాడు,
అంతగుడు,"""",అంతమును పొందినవాడు-పారగుడు,
అంతము,"""","కడపటిది,తక్కువైనది,నికృష్టము,దగ్గరిది,చక్కనిది,రమ్యము",
అంతరంగము,"""","లోపలిది,అంతర్భూతము,అత్యంతప్రియము.మిక్కిలిఇష్టమైనది,ముఖ్యమైనది",
అంతరజ్ఞుడు,"""","తారతమ్యము నెరిగినవాడు,లోపలనున్నదానిని ఎరిగినవాడు,పరెంగితముతెలిసినవాడు",
అంతరదము,"""","హృదయమును చీల్చునది,హృదయము నిచ్చునది",
అంతరప్రభువుడు,"""",సంకీర్ణజాతివాడు,
అంతరము,"""","లోపలిది,తనది,ఆత్మీయము,సాటియైనది,వేరైనది,అన్యము",
అంతరారాముడు,"""","పరమాత్మయందు క్రీడించువాడు,బ్రహ్మానందమనుభవించువాడు",
అంతరి(రీ)క్ష్యము,"""",ఆకాశమందుoడునది,
అంతరితము,"""","నడుమజొచ్చినది,అంతర్గతము,మరుగుపరుపబడినది,కప్పబడినది,నశించినది,అంతరించినది",
అంతర్గడువు,"""","నిష్ప్రయోజనము,పనికిమాలినిది",
అంతర్గతము,"""","నడుమజొచ్చినది,లోపలజేరినది,లోపలనున్నది,దాపబడినది,మరువబడినది,నశించినది",
అంతర్గామి,"""",అంతర్గతమగునది,
అంతర్జ్వలనము,"""",లోపలమంటకలది,
అంతర్ధధానము,"""","లోపలధరించుచున్నది,అంతర్ధానమగునది",
అంతర్ధాత,"""",అంతర్ధాయకుడు,
అంతర్ధాపయితన్యము,"""",అంతర్ధానము పొందింపదగినది,
అంతర్ధాపితము,"""",అంతర్ధానము పొందింపబడినది,
అంతర్ధాయకుడు,"""","అంతర్ధానమగువాడు,మాయమగువాడు,అంతర్ధానముపొందించువాడు",
అంతర్భాష్పము,"""",లోపలనేఅడపబడిన బాష్పములుకలది,
అంతర్భవము,"""","లోపలిది,లోపలనున్నది",
అంతర్భావితము,"""","లోపల భావింపబడినది,నడుమజొనుపబడినది,లోపలనుంపబడినది",
అంతర్భూతము,"""","లోపలనున్నది,లోపల అడగినది,నడుమనున్నది",
అంతర్మనుడు,"""","దుఃఖాదులచే బాహ్య వ్యాపారమున మనస్సులేనివాడు,ధ్యానమందుమగ్నుడైనవాడు",
అంతర్ముఖము,"""","లోపలిప్రక్కముఖముకలది,బాహ్య విషయములను విడిచి పరమాత్మయందుప్రవేశించినది",
అంతర్మ్రుతము,"""",కడుపులోనే మరణించినది,
అంతర్యము,"""","లోపలిది,నడిమిది",
అంతర్లంబము,"""",లఘుకోణముగలది,
అంతర్వర్తి,"""",లోపలనుండునది,
అంతర్వాణి,"""","లోపల విద్యకలవాడు-శాస్త్రములనెరిగినవాడు,పండితుడు",
అంతర్హితము,"""","మఱుగుపడినది,అంతర్ధానమైనది,మాయమైనది,దాపబడినది,కప్పబడినది",
అంతపంతము,"""","అంతముకలది,నశించునది",
అంతపట్టు,"""","ఆపరిమాణముకలది,ఆకొలదిది",
అంతవాసి,"""","దగ్గరనుండువాడు,పొలిమేరయొద్దనుండువాడు",
అంతశ్శల్యము,"""",లోపల శల్యముకలది,
అంతస్తాపము,"""",లోపలతాపముకలది,
అంతస్త్సము,"""","లోపలనుండునది,నడుమనుండునది",
అంతస్సంజ్ఞము,"""",లోపల చైతన్యముకలది,
అంతస్సత్వము,"""",లోపలశక్తికలది,
అంతస్సలిలము,"""","లోపలనీరుగలది,భూమియడుగునబ్రవహించునది",
అంతస్సారము,"""",లోపలసారముగలది,
అంతికము,"""","సమీపము,దగ్గరది,తుదవరకు సాగునది,పర్యంతవ్యాపకము",
అంతిమము,"""","దగ్గరది,సమీపము,కడపటిది,చరమము",
అంత్యము,"""","కడపటిది,దగ్గరది,తరువాతనుండునది",
అందకత్తె(త్తియ),విణ,"సౌందర్యవతి,అందము గలది",
అందగాడు,"""","అందము గలవాడు,సౌందర్యవంతుడు",
అందచందము,"""","అందమయినది,మనోహరము",
అందదుకు,"""",అతుకులు కలది,
అందము,"""","చక్కనిది,ఒప్పునది",
అందుబడి,"""","అందుటకనుకూలముగానున్నది,సమీపమందున్నది,సులభము",
అంధంకరణము,సం.విణ,అంధునిజేయునది,
అంధంభావుకము,"""",అంధంభ విష్ణువు,
అంధకారి,"""",అంధునిగాజేయునది,
అంధకుడు,"""",గ్రుడ్డివాడు,
అంధము,"""","గ్రుడ్డిది,అంధునిజేయునది",
అంధుడు,"""","గ్రుడ్డివాడు,వివేకములేనివాడు",
అంపుదోడు,విణ,"ప్రయాణమందలితోడు,యాత్రాసహాయుడు",
అంబస్తు,"""","అజ్ఞుడు,తెలివిలేనివాడు",
అంబుచరము,సం.విణ,నీటచరించునది,
అంబుజము,"""",నీటబుట్టునది,
అంబుదము,"""",నీటినిచ్చునది,
అంబుపము,"""",జలమును త్రాగునది,
అంబుపుడు,"""","జలములకురాజు,నీరుత్రాగువాడు",
అంబువాహము,"""",నీరు మోయునది,
అంబువాహి,"""",నీళ్లుమోయువాడు,
అoబూకృతము,"""","నిష్టీవముతోగూడినది,నీరుగాజేయబడినది",
అంబేద,విణ,"దిట్టతనములేనివాడు,పిరికి,అసమర్ధుడు",
అంబ్లము,సం.విణ,"ఆమ్లము,పుల్లనిది",
అంభోజము,"""",నీటబుట్టినది,
అంభోజుడు,"""",నీటబుట్టినవాడు,
అంభోదము,"""",నీటినిచ్చునది,
అంశభాక్కు,"""",భాగస్వామి,
అంశయిత,"""",పంచిపెట్టువాడు,
అంశలుడు,"""","భాగస్వామి,భాగాధికారి",
